,cutoff1,cutoff2,double,single
0,-0.34061013,5.81898893,0.0,0.1750938
0,-1.73712829,4.68359476,0.0,0.00041160000000000003
0,-1.8950348,2.16734238,5.3e-06,0.00015230000000000002
0,4.28595958,386911764.7058925,0.0,1.9999630000000002
0,-1.7221321,386911764.7058925,0.0,0.0004394
0,-1.83532587,33.75981018,0.0,0.0002318
0,28.05191561,386911764.7058925,0.0,2.0
0,-1.69230769,5.47526629,0.0,0.0005312
0,-1.71607605,386911764.7058925,0.0,0.0004718
0,-1.83076519,27.13903743,0.0,0.00021719999999999997
0,2.34680053,6.0803495000000005,0.0,1.962249
0,-1.3383573999999998,386911764.7058925,0.0,0.0037522
0,2.34680053,6.0803495000000005,0.0,1.962111
0,-1.3383573999999998,386911764.7058925,0.0,0.0037482
0,2.34680053,6.0803495000000005,0.0,1.9620966
0,-1.3383573999999998,386911764.7058925,0.0,0.0037821999999999995
0,2.34680053,6.0803495000000005,0.0,1.9621008
0,-1.3383573999999998,386911764.7058925,0.0,0.0037614000000000002
0,2.34680053,6.0803495000000005,0.0,1.96198
0,-1.3383573999999998,386911764.7058925,0.0,0.0038052
0,2.34680053,6.0803495000000005,0.0,1.9620886
0,-1.3383573999999998,386911764.7058925,0.0,0.0037784
0,2.34680053,6.0803495000000005,0.0,1.9621576
0,-1.3383573999999998,386911764.7058925,0.0,0.003796
0,2.34680053,6.0803495000000005,0.0,1.9622588
0,-1.3383573999999998,386911764.7058925,0.0,0.0037501999999999995
0,2.34680053,6.0803495000000005,0.0,1.9621792
0,-1.3383573999999998,386911764.7058925,0.0,0.003749
0,2.34680053,6.0803495000000005,0.0,1.9622444
0,-1.3383573999999998,386911764.7058925,0.0,0.0037324
0,2.34680053,6.0803495000000005,0.0,1.9620834
0,-1.3383573999999998,386911764.7058925,0.0,0.0037194000000000003
0,2.34680053,6.0803495000000005,0.0,1.9622102
0,-1.3383573999999998,386911764.7058925,0.0,0.0037546
0,-4.12648949,1.4838773,0.0,0.0
0,-1.84257406,4.66747147,0.0,0.0001966
0,-2.07904207,67.78431361,0.0,4.120000000000001e-05
0,-0.04664165,67.78431361,0.0,0.3558054
0,2.34680053,6.0803495000000005,0.0,1.961946
0,-1.99649077,386892420.56845534,0.0,7.46e-05
0,-449955006.74885297,0.94643448,0.0,0.0
0,-5.39841246,386892420.56845534,0.0,0.0
0,0.27302908,386892420.56845534,0.0,0.6394076
0,0.62396563,386892420.56845534,0.0,1.0091934
0,-1.89755482,41.99019603,0.0,0.000143
0,-1.81540573,72.69747885,0.0,0.00026319999999999995
0,-1.05984255,386892420.56845534,0.0,0.0139448
0,-3.7633137000000003,50.58823523,0.0,0.0
0,-3.65278345,386892420.56845534,0.0,0.0
0,-1.81293143,50.58823523,0.0,0.0002556
0,-1.78786415,386892420.56845534,0.0,0.0002918
0,-0.47772192,386892420.56845534,0.0,0.11835539999999999
0,-1.89231161,18.42766034,0.0,0.00015
0,-1.51918305,386892420.56845534,0.0,0.001485
0,-1.95720894,386892420.56845534,0.0,0.0001054
0,-0.15178162,386892420.56845534,0.0,0.2818226
0,0.00355653,386892420.56845534,0.0,0.3948132
0,-1.01654893,386892420.56845534,0.0,0.016953599999999996
0,0.42197661,514.88234608,0.0,0.7926134
0,-1.9819468999999996,9.28185861,0.0,7.840000000000001e-05
0,-1.98828669,386892420.56845534,0.0,8.14e-05
